ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICACIÓN,CP
15,61,LIBERTAD,COLONIA,54407
15,25,INFONAVIT NORTE,UNIDAD HABITACIONAL,54720
15,14,SAN FELIPE PUEBLO NUEVO,PUEBLO,50483
15,25,EL CERRITO,PUEBLO,54710
15,49,LOS REYES,PUEBLO,50727
15,25,EL ROSARIO,PUEBLO,54710
15,25,SANTA MARIA TIANGUISTENGO,PUEBLO,54710
15,49,MAVORO,PUEBLO,50736
15,25,SAN JOSE HUILANGO,PUEBLO,54710
15,14,SAN ANTONIO ENCHISI,PUEBLO,50484
15,14,SAN FRANCISCO CHALCHIHUAPAN,PUEBLO,50480
15,25,LOMA DE LOS ANGELES,COLONIA,54710
15,25,LA HERRADURA,COLONIA,54720
15,14,SAN PEDRO DEL ROSAL,PUEBLO,50485
15,14,EL SALTO,PUEBLO,50473
15,14,SAN PABLO ATOTONILCO,PUEBLO,50470
15,14,SAN JOSE DEL TUNAL,PUEBLO,50475
15,14,SANTA CRUZ BOMBATEVI,PUEBLO,50486
15,25,EJIDO DE GUADALUPE,COLONIA,54745
15,25,LA AURORA,COLONIA,54725
15,25,LAS AURORITAS,COLONIA,54725
15,25,LA PIEDAD,COLONIA,54720
15,25,SAN ANTONIO,FRACCIONAMIENTO,54720
15,25,SAN FRANCISCO TEPOJACO,PUEBLO,54745
15,25,LAGO DE GUADALUPE,COLONIA,54766
15,25,TRES DE MAYO,COLONIA,54760
15,25,LOMAS DEL BOSQUE,COLONIA,54760
15,25,BOSQUES DEL LAGO,FRACCIONAMIENTO,54766
15,61,SITIO 217,UNIDAD HABITACIONAL,54476
15,61,BOSQUES DE LA COLMENA - AMPLIACION GRANJAS DE GUADALUPE,COLONIA,54476
15,61,LOMA DE LA CRUZ,COLONIA,54475
15,61,COLMENA CENTRO,COLONIA,54400
15,61,GRANJAS GUADALUPE,COLONIA,54474
15,61,AMPLIACION GRANJAS GUADALUPE,COLONIA,54474
15,61,BOULEVARES DEL LAGO,UNIDAD HABITACIONAL,54473
15,61,ARCOIRIS,FRACCIONAMIENTO,54467
15,61,VISTA VERDE,FRACCIONAMIENTO,54467
15,61,CLARA CORDOVA MORAN,COLONIA,54475
15,61,CAMPESTRE LIBERACION,COLONIA,54473
15,61,FRANCISCO SARABIA,COLONIA,54473
15,61,PASEO SAN CARLOS,FRACCIONAMIENTO,54473
15,61,VILLA MAGISTERIAL,FRACCIONAMIENTO,54473
15,61,LOS CANTAROS,FRACCIONAMIENTO,54473
15,13,REAL DEL PEDREGAL,FRACCIONAMIENTO,52910
15,61,FUENTES SAN JOSE,CONJUNTO HABITACIONAL,54466
15,61,LOS CANTAROS II,FRACCIONAMIENTO,54466
15,61,SAN JUAN TLIHUACA,COLONIA,54466
15,61,INFONAVIT FRANCISCO I MADERO,UNIDAD HABITACIONAL,54467
15,61,LOMAS DE SAYAVEDRA,UNIDAD HABITACIONAL,54467
15,61,LA COLMENA CTM,UNIDAD HABITACIONAL,54467
15,61,BALCONES DE JUAREZ,COLONIA,54469
15,61,BENITO JUAREZ BARRON,COLONIA,54469
15,61,BALCONES DE SANTA ANA,COLONIA,54467
15,61,FRANCISCO I MADERO,COLONIA,54467
15,61,HIMNO NACIONAL,COLONIA,54400
15,61,HIDALGO,COLONIA,54424
15,61,SANTA ANITA,COLONIA,54400
15,61,DOCTOR IGNACIO CAPETILLO,COLONIA,54434
15,61,VICENTE GUERRERO,COLONIA,54425
15,61,SAN MIGUEL HILA,PUEBLO,54400
15,61,LOMA DEL RIO,FRACCIONAMIENTO,54463
15,61,EL GAVILLERO,COLONIA,54459
15,61,TRANSFIGURACION,PUEBLO,54439
15,61,EL MIRADOR,PUEBLO,54440
15,61,SAN FRANCISCO MAGU,PUEBLO,54440
15,61,BARRIO DE LA LUZ,PUEBLO,54440
15,61,EL ESCLAVO,PUEBLO,54440
15,61,PUERTO MAGU,PUEBLO,54440
15,61,SAN JUAN DE LAS TABLAS,PUEBLO,54449
15,61,JORGE JIMENEZ CANTU,COLONIA,54408
15,61,COLINAS DE MONTEBELLO,CONJUNTO HABITACIONAL,54409
15,61,INDEPENDENCIA,COLONIA,54409
15,61,ZARAGOZA,COLONIA,54457
15,61,JOYA DEL TEJOCOTE,COLONIA,54460
15,61,SAN PABLO DE LA CRUZ,PUEBLO,54460
15,61,LOMA LARGA,COLONIA,54460
15,61,INFONAVIT LA CONCEPCION,CONJUNTO HABITACIONAL,54460
15,61,VILLAS DEL BOSQUE,FRACCIONAMIENTO,54460
15,61,MORELOS,COLONIA,54455
15,61,AMPLIACION MORELOS,PUEBLO,54455
15,61,LOS TUBOS,PUEBLO,54460
15,92,SAN BARTOLO,BARRIO,54770
15,92,VENECIA,COLONIA,54770
15,96,LAS ANIMAS,BARRIO,54616
15,96,RICARDO FLORES MAGON,COLONIA,54607
15,96,LA LUMBRERA,COLONIA,54600
15,96,LOMA BONITA,COLONIA,54600
15,96,SAN MARTIN,BARRIO,54600
15,96,LOS ALAMOS,COLONIA,54608
15,96,TEPOTZOTLAN,COLONIA,54600
15,96,CAPULA,BARRIO,54608
15,96,SAN MATEO XOLOC,PUEBLO,54600
15,96,LA LUZ,PUEBLO,54655
15,96,LA CONCEPCION,PUEBLO,54657
15,96,SANTIAGO CUAUTLALPAN,PUEBLO,54650
15,113,MONTE DE PEÐA,PUEBLO,55300
15,96,GRANJAS HOGAR,FRACCIONAMIENTO,54654
15,96,CAÐADA DE CISNEROS,PUEBLO,54650
15,96,LAS CABAÐAS,PUEBLO,54658
